t/s	    x/m	    y/m
0,00	1,000	0,500
0,02	1,050	0,536
0,04	1,100	0,572
0,06	1,149	0,607
0,08	1,199	0,643
0,10	1,248	0,678
0,12	1,298	0,713
0,14	1,347	0,748
0,16	1,396	0,783
0,18	1,445	0,818
0,20	1,494	0,852
0,22	1,543	0,886
0,24	1,591	0,920
0,26	1,640	0,954
0,28	1,688	0,988
0,30	1,736	1,022
0,32	1,784	1,056
0,34	1,832	1,089
0,36	1,880	1,122
0,38	1,928	1,155
0,40	1,975	1,188
0,42	2,023	1,221
0,44	2,070	1,253
0,46	2,117	1,286
0,48	2,165	1,318
0,50	2,212	1,350
0,52	2,258	1,382
0,54	2,305	1,414
0,56	2,352	1,445
0,58	2,398	1,477
0,60	2,444	1,508
0,62	2,490	1,539
0,64	2,536	1,570
0,66	2,582	1,601
0,68	2,628	1,632
0,70	2,674	1,662
0,72	2,719	1,692
0,74	2,765	1,722
0,76	2,810	1,752
0,78	2,855	1,782
0,80	2,900	1,812
0,82	2,945	1,842
0,84	2,989	1,871
0,86	3,034	1,900
0,88	3,078	1,929
0,90	3,123	1,958
0,92	3,167	1,987
0,94	3,211	2,015
0,96	3,255	2,044
0,98	3,298	2,072
1,00	3,342	2,100
1,02	3,385	2,128
1,04	3,429	2,156
1,06	3,472	2,183
1,08	3,515	2,211
1,10	3,558	2,238
1,12	3,601	2,265
1,14	3,643	2,292
1,16	3,686	2,319
1,18	3,728	2,346
1,20	3,770	2,372
1,22	3,812	2,398
1,24	3,854	2,424
1,26	3,896	2,450
1,28	3,937	2,476
1,30	3,979	2,502
1,32	4,020	2,528
1,34	4,061	2,553
1,36	4,102	2,578
1,38	4,143	2,603
1,40	4,184	2,628
1,42	4,225	2,653
1,44	4,265	2,677
1,46	4,305	2,702
1,48	4,346	2,726
1,50	4,386	2,750
1,52	4,425	2,774
1,54	4,465	2,798
1,56	4,505	2,821
1,58	4,544	2,845
1,60	4,583	2,868
1,62	4,622	2,891
1,64	4,661	2,914
1,66	4,700	2,937
1,68	4,739	2,960
1,70	4,777	2,982
1,72	4,816	3,004
1,74	4,854	3,026
1,76	4,892	3,048
1,78	4,930	3,070
1,80	4,967	3,092
1,82	5,005	3,114
1,84	5,042	3,135
1,86	5,080	3,156
1,88	5,117	3,177
1,90	5,154	3,198
1,92	5,190	3,219
1,94	5,227	3,239
1,96	5,264	3,260
1,98	5,300	3,280
2,00	5,336	3,300
2,02	5,372	3,320
2,04	5,408	3,340
2,06	5,444	3,359
2,08	5,479	3,379
2,10	5,514	3,398
2,12	5,550	3,417
2,14	5,585	3,436
2,16	5,620	3,455
2,18	5,654	3,474
2,20	5,689	3,492
2,22	5,723	3,510
2,24	5,757	3,528
2,26	5,792	3,546
2,28	5,825	3,564
2,30	5,859	3,582
2,32	5,893	3,600
2,34	5,926	3,617
2,36	5,959	3,634
2,38	5,992	3,651
2,40	6,025	3,668
2,42	6,058	3,685
2,44	6,091	3,701
2,46	6,123	3,718
2,48	6,155	3,734
2,50	6,188	3,750
2,52	6,219	3,766
2,54	6,251	3,782
2,56	6,283	3,797
